"NGenes"	"PropDown"	"PropUp"	"Direction"	"PValue"	"FDR"	"PValue.Mixed"	"FDR.Mixed"
"TNK2"	6	0	0	"Up"	0.336	0.9955	0.763	0.949900332225914
"CKMT2"	7	0	0	"Down"	0.342	0.9955	0.941	0.962555910543131
"CKM"	8	0	0	"Up"	0.346	0.9955	0.455	0.949900332225914
"CDK4"	6	0.166666666666667	0.166666666666667	"Down"	0.351	0.9955	0.6	0.949900332225914
"CAMKK1"	4	0	0	"Up"	0.357	0.9955	0.469	0.949900332225914
"PRKAA2"	5	0.2	0	"Down"	0.363	0.9955	0.267	0.949900332225914
"MAP2K1"	5	0	0	"Down"	0.366	0.9955	0.636	0.949900332225914
"PINK1"	4	0	0	"Down"	0.369	0.9955	0.509	0.949900332225914
"CDK1"	4	0	0	"Up"	0.373	0.9955	0.582	0.949900332225914
"KNDC1"	5	0	0	"Down"	0.374	0.9955	0.537	0.949900332225914
"DYRK1B"	5	0.2	0	"Down"	0.376	0.9955	0.235	0.949900332225914
"ROR2"	4	0	0	"Up"	0.376	0.9955	0.527	0.949900332225914
"CNKSR2"	4	0	0	"Up"	0.376	0.9955	0.708	0.949900332225914
"OXSR1"	5	0	0	"Down"	0.379	0.9955	0.457	0.949900332225914
"MAPK8"	4	0.25	0	"Down"	0.383	0.9955	0.696	0.949900332225914
"FURIN"	4	0	0	"Down"	0.386	0.9955	0.074	0.949900332225914
"SCYL1"	4	0	0	"Down"	0.389	0.9955	0.955	0.969650793650794
"STK38"	7	0	0.142857142857143	"Up"	0.396	0.9955	0.177	0.949900332225914
"NRP1"	6	0	0	"Down"	0.396	0.9955	0.674	0.949900332225914
"MATK"	4	0	0.25	"Up"	0.404	0.9955	0.417	0.949900332225914
"EPHA3"	4	0	0	"Down"	0.413	0.9955	0.875	0.949900332225914
"PDGFRA"	6	0	0	"Down"	0.419	0.9955	0.616	0.949900332225914
"PIK3C2B"	6	0	0	"Down"	0.42	0.9955	0.273	0.949900332225914
"PLK2"	6	0	0	"Up"	0.421	0.9955	0.517	0.949900332225914
"CDK13"	4	0	0.25	"Up"	0.422	0.9955	0.789	0.949900332225914
"AKT1"	4	0	0	"Up"	0.425	0.9955	0.509	0.949900332225914
"PRKAA1"	7	0	0	"Up"	0.428	0.9955	0.425	0.949900332225914
"TGFB2"	6	0	0	"Down"	0.433	0.9955	0.744	0.949900332225914
"EPHA1"	4	0	0	"Up"	0.438	0.9955	0.426	0.949900332225914
"DGKA"	8	0.125	0	"Down"	0.442	0.9955	0.508	0.949900332225914
"ULK2"	6	0	0	"Down"	0.444	0.9955	0.511	0.949900332225914
"GRK5"	5	0	0	"Up"	0.446	0.9955	0.801	0.949900332225914
"EIF2AK4"	4	0	0	"Down"	0.447	0.9955	0.633	0.949900332225914
"CLK3"	4	0	0	"Down"	0.448	0.9955	0.742	0.949900332225914
"RIOK3"	5	0	0	"Down"	0.451	0.9955	0.547	0.949900332225914
