Gene	RoastRankScore	PooledTopTagRankScore	ExpressionRankScore	CNVRankScore	RankImpactScore
SRMS	29.000000	63.000000	11.000000	98.500000	201.500000
FRK	28.000000	37.000000	23.000000	4.500000	92.500000
MAPK6	27.000000	14.000000	113.000000	119.500000	273.500000
CKB	26.000000	44.000000	121.000000	47.000000	238.000000
FER	25.000000	11.000000	32.000000	98.500000	166.500000
FLT4	24.000000	71.000000	18.000000	98.500000	211.500000
PRKACB	23.000000	6.000000	65.000000	98.500000	192.500000
CAD	22.000000	88.000000	78.000000	47.000000	235.000000
PKN3	21.000000	7.000000	21.000000	47.000000	96.000000
PIK3CB	20.000000	2.000000	72.000000	119.500000	213.500000
FGFR4	18.000000	25.000000	42.000000	98.500000	183.500000
CDK6	17.000000	54.000000	96.000000	98.500000	265.500000
DYRK3	16.000000	24.000000	50.000000	47.000000	137.000000
CAMK4	14.000000	10.000000	35.000000	98.500000	157.500000
NUAK1	13.000000	1.000000	30.000000	47.000000	91.000000
EPHA3	12.000000	15.000000	7.000000	47.000000	81.000000
AK5	10.000000	9.000000	3.000000	98.500000	120.500000
ADK	9.000000	29.000000	120.000000	47.000000	205.000000
JAK1	8.000000	16.000000	102.000000	98.500000	224.500000
EFNA3	7.000000	23.000000	57.000000	47.000000	134.000000
CERK	6.000000	19.000000	95.000000	98.500000	218.500000
STK38	5.000000	13.000000	73.000000	98.500000	189.500000
MERTK	4.000000	27.000000	5.000000	47.000000	83.000000
BRSK1	3.000000	4.000000	12.000000	47.000000	66.000000
STK39	1.000000	8.000000	82.000000	47.000000	138.000000
